	tweet_id	text	science_related	scientific_claim	scientific_reference	scientific_context
21	349083884803198976	"HM Revenue defines tax evasion as ""serious"" when sum involved is higher than £50,000 worthy of prosecution. http://t.co/BN3MEqJWvV"	0	0.0	0.0	0.0
23	350116212899971073	ThE Lazy Marketer Increase riches. How to be a leader. How to be recognized. Get protected. Chino Hills California	0	0.0	0.0	0.0
24	350649661289275393	God dammit ... Poor decisions lead to negative consequences. Won't happen again	0	0.0	0.0	0.0
25	352112687028768770	New post outlining SOLO mapping activity for Science http://t.co/uLArqkGCT8 Perhaps useful for other subjects too.	0	0.0	0.0	0.0
26	354781851375763456	Girls with asses big enough to cause a pile up #BSE and #TooLive Presents #XXXplicit #July19 @ 814 S. Dixie hwy, Hollywood, FL 33020 Time 9	0	0.0	0.0	0.0
27	354971560186101763	A wise Physician said, “The best medicine for Humans is LOVE.” Some1 asked, “If it doesn’t work?” He smiled&answered, “ Increase the dose.”	1	1.0	0.0	0.0
28	357332201190334464	Zimmerman did not win the lotto ppl please stop spreading these Krazy rumors	0	0.0	0.0	0.0
29	357516810666524675	When we think of unhealthy living we generally think of diet and exercise. Diet and exercise are an intricate... http://t.co/bGnam9Thx1	1	1.0	0.0	0.0
30	358829145460969473	#BREAKING:Somalia: Al Shabab ambushes on Kenyan forces in Lower #Juba region http://t.co/h3OuYEpfoQ	0	0.0	0.0	0.0
31	359184948294467584	dude if people don't stop retweeting that fake frank ocean account..	0	0.0	0.0	0.0
32	361218917303193600	Teach children to treat animals responsibly do not teach captivity! Join us http://t.co/UR15gQPatU #FreeAllCetacea via @FreeAllCetacea	0	0.0	0.0	0.0
33	362177441596321792	Caution! 3D Printers Could Cause Health Problems. Find out more here: http://t.co/BRAwvRgq28	1	1.0	0.0	0.0
34	362864716030283777	#YouKnowYouInTheHoodWhen u see taggings all over the stop signs and shit	0	0.0	0.0	0.0
35	363172565365170176	MDLinx Blog: MDLinx Blog: Neuropsychological findings in pediatric maltreatment: relationship of PTSD,... http://t.co/sS24IDHCoD	1	0.0	1.0	1.0
36	363719380967768064	RT @rgj: Barrick Gold reports $8.56 billion Q2 loss http://t.co/fuaTuAH54i	0	0.0	0.0	0.0
37	364157346026500096	Lemme stop talking anus	0	0.0	0.0	0.0
38	368890097971654656	Mortgage Rates Continue Lower Ahead of... http://t.co/SfSvmYFJn7 #mortgage	0	0.0	0.0	0.0
39	369497353503264768	"""@GeminisWeAre: # ZodiacAreUs: Lavender is the scent associated with #Gemini."" So that's the reason I LOVEEEEEEEE Lavended"	0	0.0	0.0	0.0
40	369662835972141056	65% of cats born with blue eyes are deaf.	1	1.0	0.0	0.0
41	371197661439078400	@najdi_outsider @mayami2012 @mol7daa @ahlamm4 @bibi_dd 1. The study indicate that the brain atrophy is caused by stress not by religion	1	1.0	0.0	1.0
43	375481363668795392	Over thinking causes the mind to create negative scenarios and replay painful memories.	1	1.0	0.0	0.0
44	375599373771898880	Sleep 'boosts brain cell numbers' http://t.co/5d9b6G1vob	1	1.0	1.0	1.0
45	375694265692594176	Please read this request and support this wonderful charity. Continue to pray for Helen Wade and Michelle... http://t.co/WIMFrbPfpA	0	0.0	0.0	0.0
46	377536039117934592	@mick_keeley omg stop ahahahah this is like year 5 sex ed	0	0.0	0.0	0.0
47	378087292306337792	Versatile microRNAs Choke Off Cancer Blood Supply, Suppress Metastasis - Science Daily (press release) http://t.co/EFAfQCE57H	1	1.0	1.0	1.0
49	378259375594680320	Nerd out on this sprawling oral history of Apple design http://t.co/NFc51YVkkp	0	0.0	0.0	0.0
50	379218265500684288	“@UberFacts: During Medieval times, red hair was associated with intense sexual desire and moral degradation.” @EElise13	1	1.0	0.0	0.0
51	380010167581962240	@CODEREDDD God see and knw yr heart plus u are a fighter continue to stand strong...i'm praying for u!	0	0.0	0.0	0.0
52	380341864903090176	"@billmaher What can ""we"" do Bill? All the gun laws in the fucking world won't stop mentally ill killers from killing people..."	1	1.0	0.0	0.0
54	384330219496017920	Yay, Bianca! MT @BZGarcia: Cancer sux! Show support for @andi_sloan & affect positive change now. Sign the petition! http://t.co/KA077fN0gD	0	0.0	0.0	0.0
55	384405549905092608	This little bellend has to stop crying oh my god get a grip	0	0.0	0.0	0.0
56	384881095906299904	Wavy - Pound Cake (Freestyle): https://t.co/G2Prq59YLL - Support this record. I'm not the one just to send you anything @BET	0	0.0	0.0	0.0
58	394131909032161280	The world stops for El Classico. Its the rules. Even stopped playing FIFA.	0	0.0	0.0	0.0
59	394159135400263681	"This Guy Singing ""No Woman No Drive"" Is The Best Video To Support Saudi Women Challenging Driving Ban: “In thi... http://t.co/wRc40wKPFk"	0	0.0	0.0	0.0
60	396020068423065600	How To Fold A Suit, Shirt & Pants Together To Prevent Wrinkling - http://t.co/tLnnKTTKBU	0	0.0	0.0	0.0
61	396940972694568960	Modeling precision treatment of breast cancer - looks great ! http://t.co/4XzfGlwAWn	1	0.0	1.0	1.0
62	397206548943867905	@khushsundar Do u think legalising prostitution in all states will decrease sexual abusing. Pls give me s reply mam.	1	1.0	0.0	0.0
63	398450991726485505	Aegon UK reports rise in earnings http://t.co/M3FRwylsZU	0	0.0	0.0	0.0
64	398716322193764352	@MC_Sincere those eyes are a gift send straight from God boy!!! Hahahaha	0	0.0	0.0	0.0
65	398893112812392449	Amazon plans to lower the cost of processing big data in the cloud : http://t.co/GPpwtMqYlo #socialmedia	0	0.0	0.0	0.0
66	402844901475618816	#Multiple #Births Cost Significantly More Than Single Births, Study Shows http://t.co/A0alATsStW	1	1.0	1.0	1.0
67	402941487509671936	The taxi 12s are a must have	0	0.0	0.0	0.0
68	403454747287359488	"""The existence of absolute poverty today points to the indifference of many in the rich world"" http://t.co/ktsjh6vn1Y via @prospect_uk"	1	1.0	0.0	0.0
69	403892923831291905	GTA V Heists demand increases pressure on Rockstar http://t.co/xOduNxypRq #GTAV	0	0.0	0.0	0.0
71	405233809253089282	Let your hope make you glad. Be patient in time if trouble and never stop praying. #Romans12:12	0	0.0	0.0	0.0
72	405903081738469376	Leafs played an average game, Pittsburgh's mistakes lead to Leafs goals. Penguins deserved the W..	0	0.0	0.0	0.0
73	409122595947020288	Who Is Cindy Starfall Promote Cindy Starfall http://t.co/ataFNzowgo another fan vote for @CindyStarfall ;-)	0	0.0	0.0	0.0
74	411247736525434880	Europa, a moon of Jupiter has a gigantic ocean beneath its icy surface which cracks and shoots water jets into space. http://t.co/rcLoSrZE0C	1	1.0	1.0	1.0
75	411681385623982080	#wreckingbaIl Thousands rally to support fired Bogota mayor: Some Colombians believe Petro's dismissal could threaten... @onedirslaytion	0	0.0	0.0	0.0
76	412650110460235776	Isis Supports Wells Fargo Visa Cards: Wells Fargo & Co. and Isis ®, the mobile commerce joint venture created ... http://t.co/DxxvRyQ9YZ	0	0.0	0.0	0.0
78	413527115230117888	A lucky find of a toe fossil unlocks a genetic encyclopedia for neanderthals http://t.co/gfjo79RuSv	1	1.0	1.0	1.0
79	416820259471892481	Damn it! Dragon go back to bed and stop breathing fire everywhere	0	0.0	0.0	0.0
80	416824906223869952	@mishra_abhi Media stop looking at caste identities & start looking at performance of MLAs/Ministers/officials/policemen @prasannavishy	0	0.0	0.0	0.0
81	417390745067462656	#WeLoveAndMissYouZayn #OneDirectionPleaseDoAFollowSpreeForNewYears Rt if u support gay rights	0	0.0	0.0	0.0
82	418044514138591232	Goals for 2014 are as follows: 1) Stop 2) Drop 3) Shut'em down 4) Open up shop.	0	0.0	0.0	0.0
83	419031039776804864	Hildersham villagers unite to stop pub closure @SouthCambs @Roger_Hickford http://t.co/KvO4SxJkel	0	0.0	0.0	0.0
84	419047430718373888	.@GreenJournal study show this infection can increase risk of strokes and heart attacks http://t.co/OnPKAwpomh	1	1.0	1.0	1.0
85	420227019985932289	Looking for some fun science activities for the cold month ahead? January Science Calendar http://t.co/cGs2nvv7Bx @HSScientist	0	0.0	0.0	0.0
86	424003986866200576	“@ashu_165: #CongBJPquitIndia Stop ur false propaganda http://t.co/Cp5NptVU0Q”#UnitedWithAAP	0	0.0	0.0	0.0
87	426482774065688576	Microsoft Says Product Demand Remains High, Reports Record $24.52 Billion Revenue For FY14 Q2 http://t.co/YmxCGR2I9L	0	0.0	0.0	0.0
88	426751675102011392	Trekstock is being held in London not the LA so stop spreading rumours -J	0	0.0	0.0	0.0
89	427042365522870272	the dog will not stop fuckin snoring	0	0.0	0.0	0.0
90	427397314487914496	Cesar stop a whole war is gonna break out with cheerleading	0	0.0	0.0	0.0
92	430147526222970881	#REVENGE Interesting characters, non stop action and full of twists, this is a great new thriller! http://t.co/4ZpKXbl1Z3 XvvA	0	0.0	0.0	0.0
93	430698608137351168	Law leads to guilt,guilt leads to struggle,struggle leads to failure,failure leads to more guilt,guilt leads to more sin + hopelessness!	1	1.0	0.0	0.0
94	431030192312967168	Floral Hall Wedding Fayre Sunday Mar 23rd - All proceeds on door to go to @DougieMacstoke - Please come along and support #tunstall #stoke	0	0.0	0.0	0.0
95	431083759085969408	A NOBLE CAUSE DIES 1000 DEATHS TIL A HEART IS CHANGED #WEARETHEPEOPLE	0	0.0	0.0	0.0
96	431321021186969600	The Biology of Belief: Unleashing the Power of Consciousness, Matter, & Miracles by Bruce H. Lipton, who is a scientist turned mystic.	1	0.0	1.0	1.0
97	432580268667715584	"3OMF's, supposedly ""grown men"" will not stop talking about flappy bird in group chat. Has been the only topic of discussion today."	0	0.0	0.0	0.0
98	435062684263141377	Hey guess new Twitter cause new phone so yea please lik, direct tweet, nd please follow thx Luvs bii	0	0.0	0.0	0.0
99	435574632641757184	@CordeliaLogan Exactly. There’s nothing in that link that causes text messages to be sent. That just performs a follow.	0	0.0	0.0	0.0
100	436645794943225857	Yep. Eating vegetarian today. Geez. “@nprnews: 'Piglet Smoothie' Fed To Sows To Prevent Disease; Activists Outraged http://t.co/5LifNxWuiR”	0	0.0	0.0	0.0
101	437737194787061760	WARNING! Bible reading can be habit forming and will cause loss of fear and anxiety. Side effects are joy, love, peace, and contentment!	1	1.0	0.0	0.0
102	438237164208279552	#TRAINhealth Research found improvement in sleep quality was linked w/ weight loss, meaning a flatter stomach could mean better sleep	1	1.0	0.0	1.0
105	440497667790360576	Niggas jus need to live an stop the stressing	0	0.0	0.0	0.0
106	440536137744936960	North Korea puts Yorkshire Terriers in zoo: http://t.co/VyABEx7YnO	0	0.0	0.0	0.0
107	440922374318211072	@SpeakerBoehner #GOP #ImmigrationReform is still in ur hands #latism will not stop the fight #TNTweeters @DRMAction http://t.co/sxc5kcN1aw	0	0.0	0.0	0.0
108	442142644257320960	What the New HIV Breakthroughs Mean for the Future of the Disease | Healthy Living - Yahoo Shine http://t.co/f1qN57RHHO	1	0.0	1.0	1.0
109	442207643893903360	Spice up your diet for greater fat loss: http://t.co/la5L94hm8p	1	1.0	1.0	1.0
110	443314171921174529	Retirement home laws ‘in need of review’. @AdamMarshall777 reports in #7NewsBris http://t.co/AVupGZ3m34	0	0.0	0.0	0.0
111	443670754178379777	What will digital life look like in a decade? Some predictions, from the optimistic to mind control http://t.co/q4F7Bice83	1	0.0	1.0	1.0
112	444915993132142592	@nma08244 Small step for man, quantum leap for particle kind! http://t.co/aVhtJyxr1Y & http://t.co/YTULs3Xoc6 http://t.co/iXTn0CjehM	1	0.0	1.0	1.0
113	445991077552865281	Determination leads to Success. Best day of my life #nowplaying	1	1.0	0.0	0.0
114	446121717560115200	Blonde Girl Starts to Masturbate Leads to a Quick Fuck http://t.co/FvlwBW1twq #movie #music #ass #lol #video	0	0.0	0.0	0.0
115	446486621999726594	http://t.co/JcgzoUqu1f We specialise in providing the modular ground study courses required to convert your ICAO professional	0	0.0	0.0	0.0
116	446689236226670592	More great printing work by @instantprint, helping us launch our new brand identity. http://t.co/1H2bbdpUir	0	0.0	0.0	0.0
117	451954996158820352	“@Tasha_unicorns: Deep has got to stop being so deep”	0	0.0	0.0	0.0
118	453229267673812993	Can't find the alien exercise	0	0.0	0.0	0.0
119	453731216789737474	The underground just don't stop for hoes 😂✋💃	0	0.0	0.0	0.0
120	455624643052056576	Neurobiological Bases of Abnormal Aggression and Violent Behaviour http://t.co/NWDSQy95AT	1	0.0	1.0	1.0
121	456139274162028544	A raise to $1.8 million would have placed Martin's salary no higher than eighth in the SEC.	0	0.0	0.0	0.0
122	458622450537074688	Dark Skin May Be A Protector Against Cancer http://t.co/lrC8Rsuyqz	1	1.0	0.0	0.0
123	461347905081597952	Missouri Senate passes sales tax increase for roads ..BreakingNews KansasCity http://t.co/wJDUA338uL	0	0.0	0.0	0.0
124	461827109309399040	LEED-certified buildings are often less energy-efficient than un-certified ones: http://t.co/DXj3ez07x7	1	1.0	0.0	1.0
125	464203433394716672	Job : Durham NC - Sr. Network Security Engineer - support Network Based Security infrastructure to provide sec... http://t.co/zVltTs0ogH	0	0.0	0.0	0.0
126	464442462573170688	MAY SPECIAL - SIGN UP FOR $29.95 ($20 savings) Need more money? Love candles? Work from home selling http://t.co/GN8BLNUt0k	0	0.0	0.0	0.0
127	464497496056946688	I hate people. Take good pics of zayn and stop taking so many of grease ball	0	0.0	0.0	0.0
128	464540328293584896	"Unbelievable day at #ACDIS2014 today. So many people saying the same thing ""No One Else Is doing that..."" Stop by Friday learn what THAT is!"	0	0.0	0.0	0.0
129	464696255738703872	5 Surprising Ways Social Media is Affecting Healthcare ~ Social Media Frontiers: http://t.co/IxuQ4hfxw5	1	1.0	0.0	0.0
130	465928890381500417	@BarsAndMelody song has basically started a trend to stop bullying💖 #putastoptobullying2014	0	0.0	0.0	0.0
131	466216322750091264	#Beijing, #China sees significant increase of armed #police presence on streets http://t.co/HaTeA4kg08	1	1.0	0.0	0.0
132	466468978333061120	Photos: San Diego wildfires lead to evacuation of 20000 homes - Washington Post http://t.co/NqmUnXMScg	0	0.0	0.0	0.0
133	466592730802429952	UK population is eating too much sugar, saturated fat and salt https://t.co/jqqJ8TBWGI	1	1.0	1.0	1.0
134	467006461605081088	Even Superman had to get a job. Moral of this story is Stop saving everyone for free. #FLYE… http://t.co/p7mhlBbgbt	0	0.0	0.0	0.0
135	469874033035837440	"""@DWatson2x: DeSoto Need To Stop Spending Money On They Football Team Who Can't Win State & Fix These Bathrooms""💀💀💀💀"	0	0.0	0.0	0.0
136	470338351090778112	Selector Infected WIXOSS Causes Sharp Decline in Card Sales http://t.co/mVqmEU9IxQ	0	0.0	0.0	0.0
137	471667239288991744	Don't miss the June 17 VRUC: #Jazz & #CLM meeting: Delivering Better Requirements via Expert Systems - http://t.co/D7giMPeEYf #RationalUC	0	0.0	0.0	0.0
138	473924366242021376	@SenatorParker New York State must not set a precedent of passing laws that support quackery. Here's a great post: http://t.co/atM6hdDzMq	1	0.0	1.0	1.0
139	474967888109899776	"""@KingVegeta_: @Joiko_Saiyan #ProjectXVegeta"" Supports this with immense description."	0	0.0	0.0	0.0
140	476878532141137920	POLYGAMISOGYNIST: (n) One of the 'peaceful & tolerant' who has more than one wife to treat in an unkind and UNEQUALITARIAN manner	0	0.0	0.0	0.0
141	477571422391656448	Soccer? Whats that? Twitter promotes one sport?	0	0.0	0.0	0.0
142	480400493253259264	Honestly I won't be surprised if Iran win. Upsets are a theme this world cup	0	0.0	0.0	0.0
143	481343104364969984	The Weight Loss Plateau: Causes And Solutions For This Frustrating Problem http://t.co/MYtEQVW75l htt... http:... http://t.co/moOAcMCaXT	0	0.0	0.0	0.0
144	482893912239898624	people who are jealous automatically call whoever Justin's associated with a hoe or a thot like stop.	0	0.0	0.0	0.0
145	483587157677064192	The who, what, when, where, and why of the @BloombergCities & @nesta_uk #Iteams research http://t.co/1tCfbw4QPI #innovation #publicsector	1	0.0	0.0	1.0
146	484512446313271298	Birthday dinner - a biscuit & a Rice Krispie treat courtesy of @ali_harlan. Solid twenty minutes at home between tumbling & church.😉 #hangry	0	0.0	0.0	0.0
147	484710692357156864	Smoking cigarettes are a turn off. 😷	0	0.0	0.0	0.0
148	484910242463891457	Came to a bus stop to watch the fireworks 😂	0	0.0	0.0	0.0
149	485168452219314177	People gotta stop a the international shirts today and start wearing American shirts -,- 🇺🇸 #usa	0	0.0	0.0	0.0
150	486396678669598720	Learn from yesterday, live for today, hope for tomorrow. The important thing is not to stop questioning. - Albert Einstein	0	0.0	0.0	0.0
152	486735419053060096	"""Shall we pray before we eat?"" (Note, this is what scholars call a 'rhetorical' question) #FirstDateQuestions"	0	0.0	0.0	0.0
153	487505910097395713	truuu “@lilbodyjas: Mixed signals are a bitch lol”	0	0.0	0.0	0.0
154	488042032825663488	🇺🇸 CBS: Census Data Show U.S. Doesn't Have Shortage of STEM Workers http://t.co/bhPpXhGcYI #WIUNION	1	1.0	1.0	1.0
155	488380082637910016	“@leeezy__: ladies, stop with the knee high gladiator sandals..pls”#fixitJesus	0	0.0	0.0	0.0
156	488482672965341184	@miscarriage_hlp @BLA_Campaign please help support this movie. Based on the true story of the writer. http://t.co/gW9XpJcxIs #jacobandi	0	0.0	0.0	0.0
157	488514739241504768	These birds won't stop cherping!	0	0.0	0.0	0.0
158	489011101586038784	@Bruciebabe @WillardFoxton @doxievee @Nicksb36 @richardcalhoun Same people who believe statistics are a science.	0	0.0	0.0	0.0
159	490480937759932416	The head coach surveys the scene at Heritage Park http://t.co/yJrxAyPHTW	0	0.0	0.0	0.0
160	490727800832151552	Adversity causes some men to break; others to break records.	1	1.0	0.0	0.0
161	491594818464657410	Disabled vehicle, center lane blocked in on Rt 128 NB after EX 20 - Rt 9 stop and go traffic from EX 15 - Rt 1, delay of 15 mins #traffic	0	0.0	0.0	0.0
162	493121404897095680	#TelAviv: Israelis protesting against #GazaUnderAttack calling on Israeli government to stop the attack http://t.co/hyZA1OQGIW	0	0.0	0.0	0.0
163	493202938840367105	BY THIS MAGIC LITTLE WHO GRANT EVERY WISH CAUSE IN REALITY	0	0.0	0.0	0.0
164	493775214762000384	@RoxOrganisation proud to be associated with Rox! Well organised professionally run oh and great hospitality thanks to all	0	0.0	0.0	0.0
165	494471416562327552	Make sure you get down to my mate @timcroninmusic's gig TOMORROW! Raising money for an amazing cause too @for_luca http://t.co/tNgqYbIf91	0	0.0	0.0	0.0
167	496025919849758720	Environmental lawyers are a real thing? I thought it was a fictional occupation created by @HIMYM_CBS & @jasonsegel http://t.co/5Paag2DTb6	0	0.0	0.0	0.0
168	496661452892430336	U.S. Attorney/DEA to announce results of invest. into the distribution of performance enhancing drugs to minors/athletes at 12:30 in Miami	0	0.0	0.0	0.0
169	496878982545952769	@opticempire Also http://t.co/pz9yjM6aGp reports it is down	0	0.0	0.0	0.0
170	496963334198292480	"""Take aspirin every day for 10 years and cut your chance of bowel/stomach cancer but increase your chance of a stroke or internal bleeding."""	1	1.0	0.0	0.0
171	497168934798630913	“@jomonery1: @lynseybarry @JennyTandy lovely night again ladies!” Gotta stop the espresso martinis though!	0	0.0	0.0	0.0
172	498266865157025792	154 rat tumors #MTVHottest Example	0	0.0	0.0	0.0
174	499772888715894784	All probably from a flea color.... This throwing ups gotta stop at some point right.... 😧	0	0.0	0.0	0.0
175	501656858562928640	Min.@DipuoPeters in the process of finalizing the scholar trans policy to address safety of learners to school.	0	0.0	0.0	0.0
176	503669627851780096	A new study suggests that marijuana increases positivity and reduces the negativity in emotional processing.	1	1.0	0.0	1.0
177	504475144799399936	Overthinking leads to negative thoughts.	1	1.0	0.0	0.0
178	504923849348378625	Furthermore, drinking more water alone actually aids in losing weight.	1	1.0	0.0	0.0
179	505360614370586626	Desperate climate scam scientists explain away record high Antarctic sea ice extent as being caused by global warming http://t.co/WyqS6AzLIY	1	1.0	1.0	1.0
180	506084376719798272	Tune into Dawn News to hear some great expert analysis by Zafar Hilali	0	0.0	0.0	0.0
181	506788560456798208	The @nytimes couldn't have picked worse ex. than Bielema at Ark to support research that CFB coaches aren't overpaid: http://t.co/RhOBUcjrgj	0	0.0	0.0	0.0
182	509058030869413888	What is the aggregate economic rate of return to foreign #aid? | Channing Arndt, Sam Jones, and Finn Tarp, WIDER http://t.co/xAikUtglDp	1	1.0	1.0	1.0
183	509873947156807680	Concussion 'breathalyser' proposed http://t.co/n7T5NeBAdV Published September 11, 2014 at 01:46AM	1	0.0	1.0	1.0
184	509990351696695296	Next profits up on economic revival: Next reports a strong rise in half-year profits as higher house prices an... http://t.co/9rwOJ9EUtb	0	0.0	0.0	0.0
186	512605990953697280	This #ImplementationScience article describes an intervention program aimed at reducing late life depression symptom…/buff.ly/1tWWwz9	1	0.0	1.0	1.0
187	513248243770482688	Children of Fallen Soldiers Relief supports surviving U.S. Military children. Visit & #Donate @ http://t.co/knHA5cCjBZ #VA #DAV	0	0.0	0.0	0.0
188	513800792990441473	All Thats Cosplay Video Interview: ATC's Femme Fatale Nicole Salera! See the Video Interview at:… http://t.co/6GsVMYId2y	0	0.0	0.0	0.0
190	514933598982389760	also cancer is virtually incurable bc all cancers are different :)	1	1.0	0.0	0.0
191	515516909253853184	Check out this overview of Encouraging #Bible Study from the book “Loaded with Benefits” at http://t.co/FJNHwe0qgC #Christian #Jesus	0	0.0	0.0	0.0
192	515861475529728000	@mark Research it.I'd say they fired a missle into the center of that scar so it appeared as If the plane exploded there.Metal pieces?Missle	0	0.0	0.0	0.0
193	516646497228947456	Students need to support this team. These are your peers, exceeding expectations and quieting the doubters. They deserve your presence.	0	0.0	0.0	0.0
194	516699078000779264	Thanks for all of the recent love & support on Twitch & YT! We will be giving away a HUGE @ToastyStickers bundle soon so stay tuned ;)	0	0.0	0.0	0.0
195	517798883234033665	Search Warrant Leads to Arrest for Cocaine Sales in Pleasanton http://t.co/5dLTEYIqIB	0	0.0	0.0	0.0
196	518499273285959680	"11 Real-Life Dolls That Are Creepier Than ‘Annabelle’: 11 real life dolls that are a million times scarier than ""Annabelle."" No, really."	0	0.0	0.0	0.0
197	518926568031539201	Bali Women's One Smooth U Side Support Underwire Bra - style 3547 #7111 http://t.co/sMgxxJ51iK http://t.co/YNtBRNYCKw	0	0.0	0.0	0.0
198	519171075109056513	Vice President Biden's visit to L.A. likely to cause delays during rush hour; here's list of areas to avoid: http://t.co/4D3yU971AL	0	0.0	0.0	0.0
199	520620915722182656	not a full extend bro stop “@AchaFlocka: “@MySportsLegion: Welcome back Kobe. http://t.co/uSXYk6CuqC”------ he pushed off..... 😐😐😐”	0	0.0	0.0	0.0
200	521767676302356480	Is Ebola a health care system mishap?	1	1.0	0.0	0.0
201	521850551571861505	Social media is such an unnecessary thing that causes so much drama	0	0.0	0.0	0.0
202	523665628230479872	But wait that was childish lemme stop ✋ lol	0	0.0	0.0	0.0
203	524573573403672576	@tastedmahone @SexMahone *tags and reports to 20 other ppls* #AustinMahoneSexiest	0	0.0	0.0	0.0
204	526715558562385920	Mondays are a drag	0	0.0	0.0	0.0
205	527394348573655041	Is #Ebola being discussed at school? Use this blog to promote #FactsNotFear http://t.co/mcQ9JFG1wa 2 more blogs out this week @wellcometrust	0	0.0	0.0	0.0
206	527782174037389312	One day after the end of QE, and as the torrent of Q3 earnings reports continues, major U.S. stock index futures are all lower by about 0.4%	0	0.0	0.0	0.0
207	527805540475621377	Mr Chakane has thanked media, the PSL, SAPS, SAFA, global icons, and all South Africans for the support to the Meyiwas, Mulaudzis & Mwelases	0	0.0	0.0	0.0
208	527823873799385088	Lupus Research Institute Awards $1-Million Grants to Discover What Causes Lupus http://t.co/aXopNmLyI7	1	0.0	0.0	1.0
209	528250233986514945	.@VirginGalactic reports problem during SpaceShipTwo flight http://t.co/59PxOitX1R	0	0.0	0.0	0.0
210	531600924217999361	Did you know that what you eat can affect your productivity level? http://t.co/oiCH1IuAVO	1	1.0	1.0	1.0
211	532183622099685377	Functioning Of Human Brain http://t.co/0cmzIMDaje	0	0.0	0.0	0.0
212	533478294692585472	Students stop by the student center to sign a poster during lunch time to wish the Women's Soccer team good luck... http://t.co/Un8kTh25pz	0	0.0	0.0	0.0
213	533605714301050880	Planning a #pizza treat for Saturday? Check out how @PizzaHut has changed its identity http://t.co/xs4QjJ4Pas	0	0.0	0.0	0.0
214	534563454095728640	Perfect teeth are a turn on	1	1.0	0.0	0.0
215	534584777257390081	A fifth of US high school students use tobacco, finds survey http://t.co/CDEj38byNb	1	1.0	1.0	1.0
216	535561128215347200	What if people treated physical illness like mental illness? http://t.co/QXS9fBP25P	0	0.0	0.0	0.0
217	535871782910459904	Excessive drinking for women: 4 drinks on one occasion.. OEI!! Most Heavy Drinkers Are Not Alcoholics http://t.co/7pBOCFTpr8	1	1.0	1.0	1.0
218	540632409981857792	Sonos releases controller update for iOS and Android with multi-account support and more http://t.co/AXUmYevKxv #Music #Sound #PremiumAudio	0	0.0	0.0	0.0
220	544215268353134595	Hearingloss occurs gradually with age, but could #Diabetes play a role?http://t.co/irLwmmbzxB http://t.co/4N0hqex5U1 RT	1	1.0	0.0	1.0
221	544737999171231744	Speak Softly Carry @AlverezAmanda FBI reportViolent crime continued to decrease in 2013 while gun sales esc	0	0.0	0.0	0.0
222	545101981979639808	@Fliggenkrunker Any idea why Smash 4 had a huge increase yesterday? Like, 14 entrants out of nowhere.	0	0.0	0.0	0.0
223	545752191336599553	2X Pure Red Car 3157 68-SMD Brake Tail Stop Light LED Bulbs 3057 3457 4157 3047 - Full read by eBay: Price 4.26 USD… http://t.co/ZW7mDAYQ44	0	0.0	0.0	0.0
